user_id,user_type,location,signup_date
1,new,Bandra,2024-11-24
2,new,Powai,2024-10-22
3,new,Powai,2024-12-06
4,new,Powai,2024-11-01
5,new,Juhu,2024-12-21
6,new,Chembur,2024-12-14
7,new,Dadar,2024-12-15
8,new,Navi Mumbai,2024-10-06
9,new,Dadar,2024-10-23
10,new,Borivali,2024-12-19
11,new,Chembur,2024-10-04
12,new,Powai,2024-12-18
13,new,Bandra,2024-10-31
14,new,Chembur,2024-11-08
15,new,Juhu,2024-10-26
16,new,Bandra,2024-10-07
17,new,Andheri,2024-10-21
18,new,Juhu,2024-12-28
19,new,Andheri,2024-11-25
20,new,Bandra,2024-12-25
21,new,Powai,2024-12-09
22,new,Dadar,2024-10-31
23,new,Navi Mumbai,2024-10-21
24,new,Chembur,2024-12-03
25,new,Chembur,2024-11-18
26,new,Powai,2024-11-08
27,new,Navi Mumbai,2024-12-25
28,new,Andheri,2024-12-28
29,new,Dadar,2024-12-02
30,new,Navi Mumbai,2024-11-14
31,new,Andheri,2024-10-14
32,new,Navi Mumbai,2024-10-26
33,new,Borivali,2024-10-14
34,new,Chembur,2024-10-24
35,new,Borivali,2024-12-12
36,new,Navi Mumbai,2024-11-24
37,new,Juhu,2024-11-22
38,new,Chembur,2024-10-26
39,new,Dadar,2024-12-12
40,new,Powai,2024-11-26
41,new,Borivali,2024-11-11
42,new,Powai,2024-12-27
43,new,Andheri,2024-11-26
44,new,Khar,2024-11-08
45,new,Juhu,2024-11-05
46,new,Andheri,2024-10-22
47,new,Malad,2024-10-14
48,new,Andheri,2024-11-19
49,new,Andheri,2024-11-17
50,new,Khar,2024-10-09
51,new,Chembur,2024-12-13
52,new,Juhu,2024-10-05
53,new,Juhu,2024-12-23
54,new,Dadar,2024-10-11
55,new,Andheri,2024-10-15
56,new,Juhu,2024-11-30
57,new,Bandra,2024-10-16
58,new,Dadar,2024-12-16
59,new,Bandra,2024-12-06
60,new,Khar,2024-11-10
61,new,Bandra,2024-11-27
62,new,Powai,2024-10-07
63,new,Navi Mumbai,2024-11-07
64,new,Bandra,2024-11-07
65,new,Khar,2024-11-27
66,new,Powai,2024-11-15
67,new,Khar,2024-11-21
68,new,Khar,2024-10-25
69,new,Andheri,2024-11-23
70,new,Khar,2024-12-23
71,new,Bandra,2024-10-02
72,new,Navi Mumbai,2024-12-06
73,new,Khar,2024-12-09
74,new,Khar,2024-10-12
75,new,Juhu,2024-12-06
76,new,Malad,2024-12-25
77,new,Borivali,2024-11-22
78,new,Powai,2024-12-12
79,new,Malad,2024-10-26
80,new,Powai,2024-12-14
81,new,Borivali,2024-12-02
82,new,Navi Mumbai,2024-11-03
83,new,Dadar,2024-10-11
84,new,Borivali,2024-10-29
85,new,Chembur,2024-11-12
86,new,Malad,2024-10-16
87,new,Bandra,2024-11-14
88,new,Andheri,2024-10-01
89,new,Chembur,2024-12-10
90,new,Khar,2024-12-25
91,new,Khar,2024-12-09
92,new,Bandra,2024-10-26
93,new,Bandra,2024-11-18
94,new,Juhu,2024-12-13
95,new,Powai,2024-10-18
96,new,Juhu,2024-11-19
97,new,Borivali,2024-12-28
98,new,Dadar,2024-10-11
99,new,Malad,2024-12-24
100,new,Bandra,2024-11-30
101,new,Powai,2024-10-29
102,new,Malad,2024-12-21
103,new,Borivali,2024-12-02
104,new,Dadar,2024-11-19
105,new,Chembur,2024-11-29
106,new,Juhu,2024-10-20
107,new,Borivali,2024-10-15
108,new,Khar,2024-11-06
109,new,Juhu,2024-12-14
110,new,Andheri,2024-10-16
111,new,Juhu,2024-11-22
112,new,Borivali,2024-12-15
113,new,Bandra,2024-12-29
114,new,Dadar,2024-11-21
115,new,Borivali,2024-12-29
116,new,Bandra,2024-10-01
117,new,Bandra,2024-11-28
118,new,Juhu,2024-11-01
119,new,Dadar,2024-11-17
120,new,Borivali,2024-10-02
121,new,Borivali,2024-10-11
122,new,Khar,2024-12-30
123,new,Powai,2024-11-05
124,new,Malad,2024-12-25
125,new,Powai,2024-12-20
126,new,Borivali,2024-12-18
127,new,Juhu,2024-10-30
128,new,Chembur,2024-10-24
129,new,Borivali,2024-10-06
130,new,Andheri,2024-10-24
131,new,Bandra,2024-12-25
132,new,Navi Mumbai,2024-11-25
133,new,Borivali,2024-10-08
134,new,Andheri,2024-10-09
135,new,Andheri,2024-12-11
136,new,Malad,2024-11-17
137,new,Dadar,2024-12-19
138,new,Borivali,2024-10-07
139,new,Dadar,2024-12-13
140,new,Chembur,2024-11-21
141,new,Juhu,2024-12-14
142,new,Navi Mumbai,2024-10-13
143,new,Juhu,2024-10-13
144,new,Andheri,2024-12-04
145,new,Bandra,2024-11-16
146,new,Bandra,2024-11-23
147,new,Dadar,2024-10-17
148,new,Juhu,2024-10-26
149,new,Andheri,2024-11-21
150,new,Malad,2024-12-24
151,new,Khar,2024-11-28
152,new,Juhu,2024-11-11
153,new,Dadar,2024-10-21
154,new,Navi Mumbai,2024-12-30
155,new,Dadar,2024-11-22
156,new,Andheri,2024-12-13
157,new,Borivali,2024-12-10
158,new,Malad,2024-12-06
159,new,Andheri,2024-10-20
160,new,Malad,2024-12-09
161,new,Powai,2024-10-31
162,new,Powai,2024-11-08
163,new,Bandra,2024-12-05
164,new,Malad,2024-12-03
165,new,Juhu,2024-11-06
166,new,Navi Mumbai,2024-11-12
167,new,Khar,2024-12-27
168,new,Dadar,2024-11-20
169,new,Powai,2024-11-13
170,new,Dadar,2024-10-12
171,new,Dadar,2024-10-25
172,new,Navi Mumbai,2024-10-22
173,new,Andheri,2024-10-07
174,new,Dadar,2024-11-02
175,new,Malad,2024-10-03
176,new,Navi Mumbai,2024-11-27
177,new,Powai,2024-11-23
178,new,Borivali,2024-10-23
179,new,Dadar,2024-11-27
180,new,Bandra,2024-10-22
181,new,Navi Mumbai,2024-10-01
182,new,Andheri,2024-10-07
183,new,Chembur,2024-12-08
184,new,Powai,2024-12-01
185,new,Powai,2024-10-06
186,new,Chembur,2024-10-23
187,new,Malad,2024-10-07
188,new,Borivali,2024-12-27
189,new,Powai,2024-10-04
190,new,Powai,2024-12-23
191,new,Andheri,2024-11-02
192,new,Powai,2024-10-07
193,new,Navi Mumbai,2024-11-19
194,new,Malad,2024-10-24
195,new,Borivali,2024-10-28
196,new,Bandra,2024-12-04
197,new,Borivali,2024-11-17
198,new,Malad,2024-10-21
199,new,Juhu,2024-11-22
200,new,Navi Mumbai,2024-10-13
201,new,Juhu,2024-12-10
202,new,Malad,2024-12-30
203,new,Andheri,2024-12-25
204,new,Bandra,2024-11-25
205,new,Borivali,2024-11-25
206,new,Dadar,2024-11-15
207,new,Khar,2024-10-24
208,new,Borivali,2024-12-16
209,new,Andheri,2024-11-15
210,new,Bandra,2024-12-18
211,new,Khar,2024-11-09
212,new,Navi Mumbai,2024-10-19
213,new,Malad,2024-10-10
214,new,Malad,2024-10-10
215,new,Navi Mumbai,2024-12-03
216,new,Khar,2024-11-11
217,new,Juhu,2024-11-04
218,new,Bandra,2024-11-11
219,new,Navi Mumbai,2024-11-09
220,new,Khar,2024-11-15
221,new,Powai,2024-12-23
222,new,Borivali,2024-12-10
223,new,Andheri,2024-10-06
224,new,Navi Mumbai,2024-12-05
